Id,Id2,Id3,Geography,Total Workers,Drove Alone,Carpooled,Walked or Biked,"Public Transportation, Taxi, or Motorcycle",Worked From Home,Work In State of Residence,InCounty,OutCounty,Work Outside State of Residence,Total Commuters,Left Between 12am and 4am,Left Between 5am and 6am,Left Between 6am and 7am,Left Between 7am and 8am,Left Between 8am and 9am,Left Between 9am and 12pm,Less Than 10 Minutes,10-19 Minutes,20-29 Minutes,30-44 Minutes,45-59 Minutes,60 Minutes or more,MeanTravel
0500000US55077,55077,id55077,"Marquette County, Wisconsin",6718,5321,786,222,114,275,6644,45.8,53.2,74,6445,657,993,1199,1418,677,1502,1205,1360,1302,1173,593,819,28.9
0500000US55129,55129,id55129,"Washburn County, Wisconsin",6646,5323,551,233,113,419,6413,66.8,29.7,233,6228,430,648,1158,1763,741,1488,1613,1856,1115,953,330,349,21.7
0500000US55099,55099,id55099,"Price County, Wisconsin",6579,5171,652,355,92,309,6540,85.5,13.9,39,6268,558,878,1166,1623,689,1360,2119,1862,1059,683,226,320,19
0500000US27001,27001,id27001,"Aitkin County, Minnesota",6374,5067,644,255,76,331,6329,66,33.2,45,6043,296,622,1130,1789,810,1390,1505,1626,997,1003,393,520,24.8
0500000US55107,55107,id55107,"Rusk County, Wisconsin",6333,4857,671,272,63,475,6225,78.1,20.2,108,5860,586,908,1149,1430,621,1166,1781,1623,838,815,352,457,21.5
0500000US27023,27023,id27023,"Chippewa County, Minnesota",6306,5127,536,233,50,353,6224,70.5,28.2,82,5953,244,738,1339,1923,548,1161,2393,1738,845,566,155,256,17.9
0500000US55013,55013,id55013,"Burnett County, Wisconsin",6192,4873,626,186,81,433,5251,65,19.8,941,5761,484,645,991,1613,720,1319,1521,1411,904,749,438,743,27.3
0500000US27071,27071,id27071,"Koochiching County, Minnesota",5810,4334,691,256,186,343,5740,90.9,7.9,70,5469,372,602,973,1499,727,1285,2636,1652,399,345,142,295,16.6
0500000US27159,27159,id27159,"Wadena County, Minnesota",5742,4559,638,183,98,276,5656,65.1,33.4,86,5467,262,569,1104,1536,618,1383,1717,1547,809,733,312,344,22
0500000US27165,27165,id27165,"Watonwan County, Minnesota",5621,4306,692,292,45,292,5610,65.9,33.9,11,5331,309,464,1173,1722,570,1104,1962,1237,698,970,299,171,19.2
0500000US27033,27033,id27033,"Cottonwood County, Minnesota",5399,3898,577,432,119,367,5340,77.3,21.5,59,5030,176,498,1086,1554,699,1016,1932,1595,669,538,116,186,16.1
0500000US27121,27121,id27121,"Pope County, Minnesota",5320,4144,489,314,90,287,5277,61.4,37.8,43,5035,171,655,937,1838,544,896,1455,1556,876,775,191,171,18.7
0500000US27063,27063,id27063,"Jackson County, Minnesota",5223,4178,438,172,57,381,4857,72,21.1,366,4844,363,504,804,1787,596,790,1724,1444,882,494,92,208,17.8
0500000US27149,27149,id27149,"Stevens County, Minnesota",5050,3490,400,747,116,298,5005,90,9.1,45,4754,133,509,632,1421,832,1236,2334,1645,376,233,86,86,12
0500000US27173,27173,id27173,"Yellow Medicine County, Minnesota",5037,3662,524,302,90,463,4906,62,35.3,131,4574,206,563,855,1541,553,851,1551,1276,741,686,197,123,17.9
0500000US27151,27151,id27151,"Swift County, Minnesota",4919,3606,398,477,93,344,4885,76.1,23.3,34,4577,206,673,860,1510,508,824,2028,979,613,636,215,105,16.4
0500000US27075,27075,id27075,"Lake County, Minnesota",4741,3636,493,308,52,251,4476,70.6,23.9,265,4489,319,579,839,1131,552,1068,1598,1041,382,678,476,314,21.8
0500000US27133,27133,id27133,"Rock County, Minnesota",4679,3556,388,224,149,356,3556,67.6,8.4,1123,4322,255,320,899,1491,467,886,1690,1055,488,726,216,147,18.2
0500000US27089,27089,id27089,"Marshall County, Minnesota",4657,3525,545,182,79,321,4107,51.5,36.7,550,4337,182,425,976,1561,546,646,1193,794,794,950,334,269,23.1
0500000US27117,27117,id27117,"Pipestone County, Minnesota",4631,3496,519,186,84,347,4117,78.5,10.4,514,4285,197,441,853,1423,587,784,1971,981,437,416,257,227,17.5
0500000US27101,27101,id27101,"Murray County, Minnesota",4223,3188,354,228,50,397,4134,68.3,29.6,89,3827,111,337,830,1343,536,666,1359,945,555,647,180,149,19.7
0500000US55041,55041,id55041,"Forest County, Wisconsin",3596,2783,428,97,54,237,3524,76.5,21.4,72,3359,222,390,883,833,326,702,1008,1061,396,447,202,245,21.6
