Id,Id2,Geography,Workers 16 years and over,CarAlone,Carpool,Public,WalkedOrBiked,TaxiMotorOther,WorkedAtHome,InState,InCounty,OutCounty,OutState,Time
0500000US27069,27069,"Kittson County, Minnesota",2129,69.2,10.8,0.6,8.2,0.7,10.6,86,72.3,13.7,14,20
0500000US27071,27071,"Koochiching County, Minnesota",5810,74.6,12,1.8,4.4,1.4,5.9,98.8,90.9,7.9,1.2,16.6
0500000US27073,27073,"Lac qui Parle County, Minnesota",3359,74.3,8.2,0.3,5.5,0.7,10.9,96.8,71.4,25.4,3.2,16.9
0500000US27075,27075,"Lake County, Minnesota",4741,76.7,10.4,0.1,6.5,1,5.3,94.4,70.6,23.9,5.6,21.8
0500000US27077,27077,"Lake of the Woods County, Minnesota",1971,74.8,17.7,0.1,2.8,0,4.6,99.9,72.7,27.2,0.1,18.4
0500000US27079,27079,"Le Sueur County, Minnesota",14238,81.6,9.8,0.5,3.2,0.9,4,99.3,40.4,58.9,0.7,25
0500000US27081,27081,"Lincoln County, Minnesota",2946,71.8,9.1,0.1,6.4,0.9,11.8,90.9,60.4,30.5,9.1,20.2
0500000US27083,27083,"Lyon County, Minnesota",13925,74.3,13.8,1.1,3.6,0.7,6.5,98.3,91.1,7.2,1.7,15.3
0500000US27085,27085,"McLeod County, Minnesota",18503,82.1,8.8,0.4,4.1,0.7,4,99.4,67.3,32.1,0.6,22.2
0500000US27087,27087,"Mahnomen County, Minnesota",2121,75.2,13.2,2.2,4.6,0.8,3.9,96.7,69.5,27.2,3.3,22.1
0500000US27089,27089,"Marshall County, Minnesota",4657,75.7,11.7,0.3,3.9,1.4,6.9,88.2,51.5,36.7,11.8,23.1
0500000US27091,27091,"Martin County, Minnesota",10239,80.5,9.3,1.2,2.9,1.5,4.6,96.3,81.8,14.5,3.7,16.9
0500000US27093,27093,"Meeker County, Minnesota",11179,82.7,8.2,0.2,3.5,0.7,4.7,99.4,54.7,44.7,0.6,24.4
0500000US27095,27095,"Mille Lacs County, Minnesota",11479,80.6,10.6,0.4,3.3,1.6,3.6,98.7,53.8,44.9,1.3,29.1
0500000US27097,27097,"Morrison County, Minnesota",16011,77.4,11.1,0.2,3.3,1.1,7,99,62.1,36.8,1,25.6
0500000US27099,27099,"Mower County, Minnesota",18594,78.9,9.1,2.2,4.4,1.6,3.8,97.9,77,21,2.1,17.5
0500000US27101,27101,"Murray County, Minnesota",4223,75.5,8.4,0.6,5.4,0.6,9.4,97.9,68.3,29.6,2.1,19.7
0500000US27103,27103,"Nicollet County, Minnesota",18246,77.3,7.2,0.9,5,0.5,9,99.7,50.3,49.4,0.3,16.2
0500000US27105,27105,"Nobles County, Minnesota",10162,70.5,17.4,0.5,4.6,2.7,4.4,92.8,82.2,10.6,7.2,17.4
0500000US27107,27107,"Norman County, Minnesota",3088,78.3,7.8,0.3,4.2,0.5,9,85.4,62.2,23.2,14.6,22.3
0500000US27109,27109,"Olmsted County, Minnesota",77949,75.8,10.9,4.7,3.7,0.9,4.1,99.1,93,6.1,0.9,17.3
0500000US27111,27111,"Otter Tail County, Minnesota",26863,77.1,11.3,0.7,4.8,0.8,5.3,94.9,78.6,16.3,5.1,20.7
0500000US27113,27113,"Pennington County, Minnesota",7381,74.6,13.5,1,4.4,1.8,4.9,98.3,92.1,6.2,1.7,15
0500000US27115,27115,"Pine County, Minnesota",12656,78.6,12.7,0.6,2.5,1.4,4.2,98,61.5,36.5,2,29.9
0500000US27117,27117,"Pipestone County, Minnesota",4631,75.5,11.2,0.6,4,1.2,7.5,88.9,78.5,10.4,11.1,17.5
0500000US27119,27119,"Polk County, Minnesota",15459,80.9,8.4,0.7,4.5,0.8,4.7,70.6,62.4,8.2,29.4,17.7
0500000US27121,27121,"Pope County, Minnesota",5320,77.9,9.2,0.3,5.9,1.4,5.4,99.2,61.4,37.8,0.8,18.7
0500000US27123,27123,"Ramsey County, Minnesota",256575,74.5,9.4,6.2,4.1,0.8,5.1,98.9,55,44,1.1,23.1
0500000US27125,27125,"Red Lake County, Minnesota",2048,80.1,9.3,0.2,4.2,0.5,5.6,97.4,46.4,51,2.6,22.3
0500000US27127,27127,"Redwood County, Minnesota",7506,77.4,8.8,0.5,5.1,0.3,7.9,99.3,77.5,21.8,0.7,16.6
0500000US27129,27129,"Renville County, Minnesota",7396,79.3,7.6,0.5,4.3,0.8,7.5,99.6,67.3,32.3,0.4,18.4
0500000US27131,27131,"Rice County, Minnesota",32880,71.7,7.6,1,5.3,1.4,13,99.2,67.1,32.1,0.8,22.5
0500000US27133,27133,"Rock County, Minnesota",4679,76,8.3,1.1,4.8,2.1,7.6,76,67.6,8.4,24,18.2
0500000US27135,27135,"Roseau County, Minnesota",8180,73.8,16.6,0.6,3.6,1.2,4.3,99.1,94.7,4.4,0.9,16.6
0500000US27137,27137,"St. Louis County, Minnesota",92866,78,9.9,2.3,4.9,1.1,3.8,95.4,89.7,5.7,4.6,19.6
0500000US27139,27139,"Scott County, Minnesota",71862,83.9,7.2,1.7,1.1,1,5.2,99,35.6,63.4,1,26.3
0500000US27141,27141,"Sherburne County, Minnesota",45578,82.8,9.4,1.4,1.1,1.3,4,99.2,30.2,69.1,0.8,32.1
0500000US27143,27143,"Sibley County, Minnesota",7648,77.7,10.3,0.3,3.8,0.4,7.5,99.4,47.6,51.9,0.6,25
0500000US27145,27145,"Stearns County, Minnesota",79744,78.4,8.3,1.4,4.6,0.6,6.8,99.2,80.5,18.7,0.8,20.3
0500000US27147,27147,"Steele County, Minnesota",18070,86,6.9,0.5,2.4,0.9,3.3,99.8,78.5,21.2,0.2,17.7
0500000US27149,27149,"Stevens County, Minnesota",5050,69.1,7.9,1.5,14.8,0.8,5.9,99.1,90,9.1,0.9,12
0500000US27151,27151,"Swift County, Minnesota",4919,73.3,8.1,0.9,9.7,1,7,99.3,76.1,23.3,0.7,16.4
0500000US27153,27153,"Todd County, Minnesota",11161,75,11,0.3,3.7,1.9,8.1,99,53.9,45.1,1,23.4
0500000US27155,27155,"Traverse County, Minnesota",1618,75.2,7,0,7,0.8,10,91.6,77.6,14,8.4,15
0500000US27157,27157,"Wabasha County, Minnesota",11140,75.7,10.5,2.5,4.8,0.6,5.9,97.8,51.4,46.4,2.2,22.9
0500000US27159,27159,"Wadena County, Minnesota",5742,79.4,11,0.8,3.2,0.9,4.8,98.5,65.1,33.4,1.5,22
0500000US27161,27161,"Waseca County, Minnesota",9330,80,9.4,0.6,3,1,6.1,99.2,61.4,37.8,0.8,20.1
0500000US27163,27163,"Washington County, Minnesota",126519,82.8,8.5,2.2,1.3,0.6,4.6,97.4,36,61.4,2.6,25.7
0500000US27165,27165,"Watonwan County, Minnesota",5621,76.6,12.2,0.6,5.2,0.2,5.2,99.8,65.9,33.9,0.2,19.2
0500000US27167,27167,"Wilkin County, Minnesota",3331,77.6,9.2,0.1,4.5,0.4,8.3,51.3,41.5,9.8,48.7,18.6
0500000US27169,27169,"Winona County, Minnesota",27495,75.8,7.9,1.7,8.3,1.2,5,91.2,80,11.2,8.8,17.3
0500000US27171,27171,"Wright County, Minnesota",66010,83.3,8,0.7,1.9,1.2,4.9,99.1,40.9,58.2,0.9,30.1
0500000US27173,27173,"Yellow Medicine County, Minnesota",5037,72.7,10.3,0.7,6,1.1,9.2,97.4,62,35.3,2.6,17.9
0500000US55001,55001,"Adams County, Wisconsin",7456,80,12.3,0.1,2,1.5,4.1,97.7,43.9,53.9,2.3,28.5
0500000US55003,55003,"Ashland County, Wisconsin",7175,76.7,9.7,1,7,0.6,5,98.5,79,19.5,1.5,18.1
0500000US55005,55005,"Barron County, Wisconsin",21601,79.3,7.7,0.2,5.9,0.6,6.1,97.6,83.5,14.1,2.4,19.4
0500000US55007,55007,"Bayfield County, Wisconsin",6774,75.5,10.1,0.9,5.7,0.9,6.9,94.7,57,37.7,5.3,23.8
0500000US55009,55009,"Brown County, Wisconsin",126141,83.4,7.8,0.8,2.9,1.3,3.9,99.6,89.7,9.8,0.4,18.7
0500000US55011,55011,"Buffalo County, Wisconsin",6749,74.1,12.2,0.2,5.1,0.9,7.6,75.7,46,29.7,24.3,24.1
0500000US55013,55013,"Burnett County, Wisconsin",6192,78.7,10,0.3,3,1,7,84.8,65,19.8,15.2,27.3
0500000US55015,55015,"Calumet County, Wisconsin",26139,86.2,7.4,0.2,2,0.5,3.8,99.6,31.6,68,0.4,20.1
0500000US55017,55017,"Chippewa County, Wisconsin",30259,80.7,8.4,0.1,2.8,1.2,6.7,98.3,60.4,37.9,1.7,21.5
0500000US55019,55019,"Clark County, Wisconsin",15322,73.5,8.6,0.1,5.7,1.8,10.3,99.3,65,34.3,0.7,21
0500000US55021,55021,"Columbia County, Wisconsin",29129,81.7,10.4,0.2,2.9,1.3,3.5,99.1,49.5,49.6,0.9,25.4
0500000US55023,55023,"Crawford County, Wisconsin",7476,80.4,8.6,0.3,3.8,1,5.9,93,68.7,24.2,7,23.4
