Id,Id2,Geography,TotWorkers,DroveAlone,twoCarpool,threeCarpool,fourCarpool,PublicTrans,Walked,Bike,TaxiMotoOther,WorkedFromHome,InState,InCounty,OutCounty,OutState,TotCommuters,124,5,6,7,8,912,lt10,1019,2029,3044,4559,60plus,MeanTravel
0500000US27137,27137,"St. Louis County, Minnesota",92866,72435,7522,1207,557,2136,4086,464,1022,3529,95.4,89.7,5.7,4.6,89366,3.4,8.4,18.8,29.7,13.2,26.6,20.5,39.2,20.4,12.2,3.6,4,19.6
0500000US55101,55101,"Racine County, Wisconsin",89005,74586,5963,979,445,1246,1602,267,1068,2759,96.8,63.7,33.2,3.2,86220,4.8,9.7,22.9,27.3,11.3,23.9,17,31.8,18.9,18.2,8.7,5.4,23.5
0500000US55139,55139,"Winnebago County, Wisconsin",84095,71313,4793,925,505,841,1934,757,589,2607,99.5,72.6,26.9,0.5,81528,5.6,11.2,19.5,26.8,9.9,27,19,42.4,21.9,11.7,2.1,3,18.6
0500000US27145,27145,"Stearns County, Minnesota",79744,62519,4864,1037,718,1116,3270,399,478,5423,99.2,80.5,18.7,0.8,74355,5.7,8.9,19,30.8,10.9,24.8,22.3,38.3,18.1,11.9,3.8,5.5,20.3
0500000US27109,27109,"Olmsted County, Minnesota",77949,59085,6937,857,702,3664,2338,546,702,3196,99.1,93,6.1,0.9,74756,3,7.8,21.1,32.6,13.1,22.4,18,51.4,18.2,7.2,2.1,3.1,17.3
0500000US55059,55059,"Kenosha County, Wisconsin",77188,65378,4863,772,695,849,1544,232,849,2007,72.1,54.7,17.5,27.9,75211,4.8,10.6,23.1,25,12.3,24.2,16.5,29.2,17.4,18.5,9.5,8.8,25.9
0500000US55105,55105,"Rock County, Wisconsin",73689,60130,6042,884,516,442,1695,221,663,3169,91.8,69.4,22.4,8.2,70547,7.3,11.9,18.6,25.9,10,26.3,18.5,33.3,18.6,15.9,8,5.7,23.1
0500000US27139,27139,"Scott County, Minnesota",71862,60292,4024,790,359,1222,647,144,719,3737,99,35.6,63.4,1,68108,3.7,9.2,22.7,29,14.2,21.3,11.4,22.6,24.6,27.2,8.8,5.4,26.3
0500000US55131,55131,"Washington County, Wisconsin",70240,59704,5128,421,211,351,1124,211,632,2458,99.3,48.8,50.4,0.7,67753,4.7,11.3,24.5,26.9,11.6,21,15.5,25.8,21.8,24.1,8,4.8,24.6
0500000US55073,55073,"Marathon County, Wisconsin",68815,56291,5092,688,551,275,1514,482,757,3097,99.4,85.4,14,0.6,65711,5.4,10.5,20.7,30.1,10.4,22.8,20.5,41.3,21.2,10.7,2.9,3.3,18.9
0500000US27171,27171,"Wright County, Minnesota",66010,54986,4027,924,396,462,990,264,792,3234,99.1,40.9,58.2,0.9,62798,5.7,13,23.6,27.4,9.5,20.7,12.9,21.7,14.1,25.5,14.7,11.1,30.1
0500000US55063,55063,"La Crosse County, Wisconsin",61019,48815,3905,549,549,610,2807,1159,488,2136,97.2,89.5,7.7,2.8,58888,4.2,8.1,17.3,30.3,10.4,29.6,21.2,42,21.3,10.3,2.7,2.7,18.1
0500000US55117,55117,"Sheboygan County, Wisconsin",57751,48742,3754,635,231,289,1502,231,462,1848,99.6,84.5,15.1,0.4,55911,5.9,12.7,19.5,25,8.9,28,23.7,43.2,16.5,8.6,3.4,4.6,18.2
0500000US55035,55035,"Eau Claire County, Wisconsin",53233,42693,3194,586,266,532,2342,426,532,2662,98.5,80.7,17.8,1.5,50579,4.6,8.9,15.1,28.2,12.6,30.6,20.6,50.5,14.7,8.3,2.4,3.6,17.8
0500000US55039,55039,"Fond du Lac County, Wisconsin",51770,42193,4038,466,414,155,1708,362,518,1915,99.4,70.2,29.2,0.6,49855,7.4,12.8,20.9,24.6,9.1,25.2,23.6,36.2,17.6,13.2,4.5,4.9,20.1
0500000US55127,55127,"Walworth County, Wisconsin",51089,41433,3985,460,255,358,1686,358,460,2095,89.5,61.8,27.7,10.5,48976,5.4,11.8,20.6,24.9,11.4,25.7,19.7,31,17.3,14,8.8,9.2,24.9
0500000US27019,27019,"Carver County, Minnesota",49996,41397,2400,300,250,850,650,200,250,3650,99.3,39.5,59.8,0.7,46336,3.7,8.3,20.6,32.7,15,19.8,14,23.4,23.7,24.2,9.5,5.2,25.4
0500000US27141,27141,"Sherburne County, Minnesota",45578,37739,3510,456,365,638,410,91,593,1823,99.2,30.2,69.1,0.8,43736,7.1,14.1,23.1,24.4,10.4,20.9,9.5,22.6,15.7,22.2,14.3,15.7,32.1
0500000US55109,55109,"St. Croix County, Wisconsin",44683,36908,2815,492,715,134,938,134,268,2279,56.6,48.7,7.9,43.4,42399,5.5,12.3,22.2,27.4,12.4,20.5,14.3,22.5,19.3,21.8,13.1,8.9,27.9
0500000US55089,55089,"Ozaukee County, Wisconsin",44121,37282,2427,309,132,221,750,132,353,2427,99,49.7,49.3,1,41677,3.6,7.6,20.6,29.8,15.6,22.8,16.6,28,21.8,22.6,7,4,23.6
0500000US55055,55055,"Jefferson County, Wisconsin",42648,34715,3113,554,426,128,1450,299,341,1621,99.3,53.6,45.7,0.7,41045,6.6,13.7,21.1,25.5,9.6,23.4,23.3,26,18.5,17.9,7.5,6.8,23.2
0500000US55027,55027,"Dodge County, Wisconsin",42291,35567,2495,296,381,85,1269,169,423,1649,99.7,57.7,42,0.3,40649,10.7,15.9,20.4,22,9.1,22,26.6,27.2,17.8,15.1,7.1,6.3,21.8
0500000US55071,55071,"Manitowoc County, Wisconsin",40231,33834,2414,402,241,161,1247,282,362,1287,99.4,77.3,22.1,0.6,38934,8.6,14.7,19.9,22.9,9.1,24.8,24.9,36.6,17.8,12.5,4.3,3.9,19.2
0500000US55141,55141,"Wood County, Wisconsin",35497,29356,2130,390,248,71,1349,284,355,1242,99.6,79.7,19.9,0.4,34238,5.6,11,22.3,29.8,8.7,22.6,26.3,38.3,15.3,11.5,4.4,4.3,19.1
0500000US27013,27013,"Blue Earth County, Minnesota",35147,28750,2531,281,141,246,1336,246,176,1441,99.4,75.2,24.1,0.6,33718,3.1,6.4,17.6,30.9,12.1,30,23.5,48.1,14.9,7.8,2.1,3.5,17.2
0500000US55097,55097,"Portage County, Wisconsin",35069,28090,2315,351,140,140,1894,596,281,1262,99.1,79.9,19.2,0.9,33823,3.7,8.2,18.1,27.7,12.1,30.2,22.9,41,16.4,12,3.8,3.9,19.2
0500000US27131,27131,"Rice County, Minnesota",32880,23575,1907,296,329,329,1512,230,460,4274,99.2,67.1,32.1,0.8,28607,6.2,11.5,18.5,28.3,11.8,23.6,25.8,28,16.2,12.9,8.8,8.2,22.5
0500000US55111,55111,"Sauk County, Wisconsin",32320,25953,2553,388,291,32,1196,226,323,1357,99.3,77.3,22,0.7,30978,6.3,10.2,19.4,29.1,9.5,25.5,27.7,28.6,17.4,12.9,6.9,6.4,21.5
0500000US27027,27027,"Clay County, Minnesota",32208,25315,1997,290,290,322,1771,161,290,1804,47.4,43.7,3.7,52.6,30418,2.9,5.4,17.3,36.4,12.4,25.7,21,41.7,19.2,11.6,3.2,3.1,18.8
0500000US55017,55017,"Chippewa County, Wisconsin",30259,24419,1846,333,363,30,756,91,363,2027,98.3,60.4,37.9,1.7,28238,6.4,15.4,20.9,26.1,8.9,22.2,20.3,31.3,23.8,15.3,5,4.2,21.5
0500000US55021,55021,"Columbia County, Wisconsin",29129,23798,2447,291,291,58,786,58,379,1020,99.1,49.5,49.6,0.9,28105,6.1,13.4,23.6,27.7,9,20,20.5,22.7,18.1,21.9,10.6,6.2,25.4
0500000US27035,27035,"Crow Wing County, Minnesota",28183,22715,2114,338,225,141,479,141,282,1747,98.7,84.6,14.1,1.3,26423,3.8,9.6,15.9,35.4,13.1,22.2,20.9,36.3,19.5,14.4,3.5,5.3,21.6
0500000US27169,27169,"Winona County, Minnesota",27495,20841,1842,192,137,467,1925,357,330,1375,91.2,80,11.2,8.8,26121,5.5,10,18.6,27.6,11.7,26.7,32.1,35.8,13.4,11,4.7,3.1,17.3
0500000US27025,27025,"Chisago County, Minnesota",26941,22657,1778,296,189,242,296,81,269,1105,96.4,36.2,60.1,3.6,25829,7.5,15.2,23.1,23.7,9.9,20.7,12.9,18.4,13.8,22.2,17.9,14.8,32.7
0500000US27111,27111,"Otter Tail County, Minnesota",26863,20711,2176,403,430,188,1128,161,215,1424,94.9,78.6,16.3,5.1,25427,4,10.2,18,32.9,13.8,21.1,29.6,32.1,15.4,11.9,4.4,6.7,20.7
0500000US55015,55015,"Calumet County, Wisconsin",26139,22532,1281,444,235,52,392,131,131,993,99.6,31.6,68,0.4,25146,7.8,11.2,19.1,31,9.3,21.7,19.5,36.3,21.6,15.1,4.3,3.1,20.1
0500000US55043,55043,"Grant County, Wisconsin",25378,19719,1523,330,228,76,1650,152,254,1421,86.2,67.4,18.8,13.8,23957,6.4,10.6,18.5,29,9.2,26.3,30.8,25.3,17.1,16.2,5.3,5.2,20.7
0500000US55135,55135,"Waupaca County, Wisconsin",24897,20515,1793,324,149,75,797,149,224,871,99.3,63.5,35.8,0.7,24020,10.4,13.1,18.1,24.2,7.9,26.3,25.8,28.2,16.5,16.6,7.9,5.1,22
0500000US27049,27049,"Goodhue County, Minnesota",23177,18403,1692,255,139,232,927,93,209,1228,98.2,64.8,33.5,1.8,21942,6.2,12.9,20.9,27.5,10.2,22.3,24.9,26.2,17.9,15.6,8.1,7.3,23.1
0500000US55093,55093,"Pierce County, Wisconsin",22114,17404,1305,287,221,22,1437,177,133,1128,58.1,35.9,22.2,41.9,20994,6.6,14.2,19.7,22.6,8.9,27.8,17.6,23.2,16.3,22.4,11.7,8.9,26.8
0500000US55033,55033,"Dunn County, Wisconsin",21778,16834,1568,305,131,22,1524,131,174,1089,95.9,64.5,31.4,4.1,20689,7,11.5,19.5,24.8,9.9,27.3,21.5,30.4,19.8,17.5,4.9,5.8,22.3
0500000US55005,55005,"Barron County, Wisconsin",21601,17130,1188,302,173,43,1210,65,130,1318,97.6,83.5,14.1,2.4,20282,9.3,11.7,18.1,26.8,10.4,23.8,29.6,33.7,16.8,10.1,3.7,6.1,19.4
0500000US27067,27067,"Kandiyohi County, Minnesota",21430,17594,1586,364,236,171,407,129,107,814,99,86.5,12.5,1,20610,4.3,8.3,18.3,34.6,11.6,22.9,31.2,36.5,15.6,9.8,2.4,4.6,17.5
0500000US55031,55031,"Douglas County, Wisconsin",20960,16957,1614,231,105,272,755,42,252,734,61.5,58.8,2.7,38.5,20226,4.7,6.9,21.7,27.1,14.3,25.2,21,32.8,19.3,16.4,6.9,3.5,21.1
0500000US55081,55081,"Monroe County, Wisconsin",20914,16919,1464,251,293,63,586,42,460,837,99.3,79.3,20,0.7,20077,8.2,13.9,19.9,27.1,8,23,22.6,34,19.9,15.7,4.6,3.2,19.8
0500000US55095,55095,"Polk County, Wisconsin",20709,16691,1491,352,249,41,538,0,186,1160,77.9,61,16.9,22.1,19543,8.1,13.6,20.4,27.6,9,21.3,18.5,24.7,16.2,16.6,9.2,14.7,29.3
0500000US27007,27007,"Beltrami County, Minnesota",19957,14948,1736,239,180,539,639,220,120,1357,98.6,85,13.6,1.4,18601,4.1,6.6,17.1,37.4,12.2,22.7,22.5,42.2,14.6,11.3,3,6.4,20.1
0500000US55115,55115,"Shawano County, Wisconsin",19767,15655,1581,257,99,20,652,79,119,1324,99.6,59.1,40.5,0.4,18438,9.3,12.7,18.4,27.2,8.9,23.7,23.7,28.9,15.5,16.9,8.8,6,22.9
0500000US27009,27009,"Benton County, Minnesota",19393,15960,1358,213,213,175,368,116,116,873,99.3,36.8,62.5,0.7,18514,6.1,10.9,19.5,30.2,9.5,23.9,19.2,36.9,18.4,14.4,4.7,6.3,22.3
0500000US27061,27061,"Itasca County, Minnesota",19367,15784,1511,213,155,174,523,77,97,813,99.2,84.4,14.8,0.8,18556,3.8,10.2,20.3,30.1,12.5,23.1,20.7,34.7,19,13.7,5.3,6.5,22.8
0500000US55045,55045,"Green County, Wisconsin",19258,15464,1271,193,193,0,616,135,212,1175,96.4,60.4,36.1,3.6,18090,8,11.2,22.3,29.6,9,20,27.6,23.3,15.1,18.3,9.4,6.3,23.4
0500000US27059,27059,"Isanti County, Minnesota",18880,15180,1416,340,57,189,321,38,208,1133,98.6,41.1,57.5,1.4,17751,8.6,14.4,22.7,21.6,8.5,24.2,13.7,23.5,11.2,19.8,13.6,18.1,33.5
0500000US27099,27099,"Mower County, Minnesota",18594,14671,1357,260,93,409,669,149,298,707,97.9,77,21,2.1,17881,6.3,12.4,21.4,22.1,9,28.9,36.6,32.3,9.9,11.5,6,3.8,17.5
0500000US55083,55083,"Oconto County, Wisconsin",18517,15184,1426,296,148,37,370,19,148,907,98.8,43.7,55.1,1.2,17612,10.5,16.7,22.9,23.2,7.4,19.3,18.9,18.9,21.8,27.5,7.8,5.2,26
0500000US27085,27085,"McLeod County, Minnesota",18503,15191,1240,111,278,74,574,185,130,740,99.4,67.3,32.1,0.6,17771,5,13.1,19.8,27.4,12.5,22.2,28.2,28.2,16.2,11.1,6.8,9.4,22.2
0500000US27103,27103,"Nicollet County, Minnesota",18246,14104,1058,219,55,164,766,146,91,1642,99.7,50.3,49.4,0.3,16606,2.5,8.8,17.8,34,12.5,24.4,32.8,40.6,14.1,5.9,2,4.6,16.2
0500000US55075,55075,"Marinette County, Wisconsin",18219,15049,1275,328,91,73,638,91,164,492,85.9,74.3,11.6,14.1,17727,9.8,15.2,16.7,22.4,9.7,26.4,28.7,34.7,13.8,10.8,5.2,6.9,20.8
0500000US27041,27041,"Douglas County, Minnesota",18211,15152,1111,200,73,55,455,73,182,892,98.8,85.1,13.7,1.2,17311,3.7,8.5,16.8,35.8,13.2,21.9,27.2,41.2,16.5,9,2.1,4.1,18.3
0500000US27147,27147,"Steele County, Minnesota",18070,15540,994,145,108,90,343,90,163,596,99.8,78.5,21.2,0.2,17476,4.3,11.3,22.5,29.6,9.8,22.6,33.4,36.1,13.4,8.1,4.1,4.8,17.7
0500000US55085,55085,"Oneida County, Wisconsin",16360,13415,1260,98,82,16,393,82,147,867,99,80.4,18.6,1,15492,3.2,9.2,22.4,30.4,11.4,23.5,24.8,37.9,16.5,11.8,3.8,5,20
0500000US27097,27097,"Morrison County, Minnesota",16011,12393,1281,288,208,32,496,32,176,1121,99,62.1,36.8,1,14883,9.1,13.1,20.9,27.7,9.4,19.6,22.6,25.3,15.5,20.2,8.4,8,25.6
0500000US27017,27017,"Carlton County, Minnesota",15920,13277,987,239,80,32,446,32,143,669,96,64,32,4,15244,4.6,10.6,20.5,30.4,9.9,23.9,20.6,30.3,20.9,20.4,4.5,3.3,21.2
0500000US27119,27119,"Polk County, Minnesota",15459,12506,928,247,139,108,618,77,124,727,70.6,62.4,8.2,29.4,14725,2.7,6.7,18.7,38.2,13.5,20.1,33.1,33.4,13.8,11.9,4.3,3.5,17.7
0500000US27005,27005,"Becker County, Minnesota",15403,11922,1340,246,200,31,385,154,92,1032,91.5,73.6,17.9,8.5,14365,4.2,8.8,20.3,35,13.6,18.1,22.5,34.4,16.5,11.2,7.4,8.1,23.2
0500000US55019,55019,"Clark County, Wisconsin",15322,11262,919,215,184,15,751,123,276,1578,99.3,65,34.3,0.7,13745,10,14.4,21.7,25.3,8.2,20.4,29.7,26.9,17,15.2,5.7,5.4,21
0500000US27047,27047,"Freeborn County, Minnesota",14894,12019,1221,149,194,149,268,60,238,581,94.6,75.2,19.4,5.4,14311,5.8,10.7,19,28.1,11.1,25.2,26.6,40.9,14.8,10.6,2.7,4.6,18.5
0500000US55121,55121,"Trempealeau County, Wisconsin",14770,11890,1049,177,148,15,635,44,162,635,93.4,68.2,25.2,6.6,14141,10,16.4,18.4,26.5,8.5,20.2,27.8,23.5,19.1,19.9,5.4,4.2,21.1
0500000US27079,27079,"Le Sueur County, Minnesota",14238,11618,1182,142,71,71,413,43,128,570,99.3,40.4,58.9,0.7,13663,6.5,10.8,23.1,31.1,10,18.3,23.1,22.2,17.2,21,8.7,7.8,25
0500000US27083,27083,"Lyon County, Minnesota",13925,10346,1490,251,181,153,432,70,97,905,98.3,91.1,7.2,1.7,13025,3.7,7.7,18.1,37.7,11.2,21.6,44.1,29.6,14.7,7,1.5,3.2,15.3
0500000US55069,55069,"Lincoln County, Wisconsin",13588,11264,1114,204,95,95,272,0,122,421,99.3,63.2,36.1,0.7,13167,8,15.6,22.4,25.1,9,19.9,21.8,30.7,17.3,19.6,6,4.5,22.6
0500000US27015,27015,"Brown County, Minnesota",13339,10311,654,240,93,80,734,93,80,1040,99.6,85.9,13.6,0.4,12295,3.4,10.7,20.9,31.8,9.9,23.3,42.5,31.8,11.7,8.8,2.6,2.6,14.9
0500000US55123,55123,"Vernon County, Wisconsin",13166,10125,869,118,105,92,645,39,211,961,98.2,60.6,37.6,1.8,12203,6.8,10.3,20.1,31.2,10.9,20.6,21.4,26.5,17.2,20.5,8.4,5.8,23.5
0500000US55029,55029,"Door County, Wisconsin",13065,10269,1097,183,65,39,562,39,170,640,98.6,84.6,14,1.4,12421,4,12.5,18.9,28.4,14.2,22,32.5,31.6,14.3,11.7,5.2,4.7,19.3
0500000US27115,27115,"Pine County, Minnesota",12656,9948,1228,240,139,76,291,25,177,532,98,61.5,36.5,2,12122,9.5,12.8,16.9,24.1,10.9,25.8,18.6,29.4,15.7,13.7,5.2,17.4,29.9
0500000US55049,55049,"Iowa County, Wisconsin",12259,9268,1030,331,123,37,515,0,184,772,98.7,59.4,39.2,1.3,11487,7.3,13.8,23.6,29.4,9,16.8,24.5,23.5,14.9,16.5,11.4,9.1,25.4
0500000US27021,27021,"Cass County, Minnesota",11813,8966,957,130,95,118,425,35,189,921,97.9,55.4,42.5,2.1,10889,4.5,8.5,19.4,33.8,11.6,22.2,23.4,28.4,20.1,15.7,6.3,6,22.8
0500000US55057,55057,"Juneau County, Wisconsin",11670,9406,1062,175,58,47,350,35,117,432,98.4,62.6,35.8,1.6,11240,9.4,13.3,18.9,25.7,8.2,24.5,20.9,29.4,19.3,18.8,5.6,6.2,23.3
0500000US27095,27095,"Mille Lacs County, Minnesota",11479,9252,895,230,92,46,367,11,184,413,98.7,53.8,44.9,1.3,11070,9.4,13.7,20.2,26.7,10.6,19.5,23.3,24.3,11.1,13.8,11.1,16.6,29.1
0500000US27093,27093,"Meeker County, Minnesota",11179,9245,682,112,123,22,347,45,78,525,99.4,54.7,44.7,0.6,10657,5.4,12.6,22.7,29.7,9.9,19.5,25.3,26.6,18.7,14.5,5.5,9.4,24.4
0500000US27153,27153,"Todd County, Minnesota",11161,8371,915,167,145,33,402,11,212,904,99,53.9,45.1,1,10258,9,11.7,20.4,26.7,10.3,21.7,25.1,25.5,18.2,17.4,7.4,6.4,23.4
0500000US27157,27157,"Wabasha County, Minnesota",11140,8433,936,167,67,279,479,56,67,657,97.8,51.4,46.4,2.2,10482,5.5,11.3,21.5,31,9.7,21.1,28.1,18,20.3,21.2,7,5.4,22.9
0500000US27039,27039,"Dodge County, Minnesota",10593,8644,784,106,95,74,159,32,85,625,99.3,37.2,62.2,0.7,9972,5.5,11.7,27.6,27.5,7.9,19.8,18.3,18,31.5,22.6,5.3,4.3,23.7
0500000US27091,27091,"Martin County, Minnesota",10239,8242,655,184,113,123,287,10,154,471,96.3,81.8,14.5,3.7,9769,3,11.4,18.1,31.8,12.9,22.7,35.4,31.6,16.1,9.7,2.7,4.5,16.9
0500000US27045,27045,"Fillmore County, Minnesota",10188,7203,1029,132,92,326,499,61,122,723,94.9,55.1,39.9,5.1,9464,5.9,13.2,25.5,28.3,9.5,17.7,26.4,19.9,13.3,20,12,8.4,25.5
0500000US27105,27105,"Nobles County, Minnesota",10162,7164,1230,183,346,51,406,61,274,447,92.8,82.2,10.6,7.2,9719,5.1,14.5,17.9,27.2,9.8,25.4,35.8,32.8,12.1,9.4,6.4,3.5,17.4
0500000US55137,55137,"Waushara County, Wisconsin",10134,7905,963,162,122,51,243,10,152,517,99,50.4,48.6,1,9614,9.1,12,22.6,26.3,7.7,22.2,20.4,25,17.1,16.7,11.6,9.3,26.7
0500000US55061,55061,"Kewaunee County, Wisconsin",10118,8165,637,121,30,51,465,20,111,526,99.9,54.5,45.4,0.1,9590,9.3,17.6,25,24.6,6.4,17.1,26.8,20.1,18.8,23.6,7.3,3.4,22.4
0500000US55119,55119,"Taylor County, Wisconsin",9950,7612,716,159,90,50,428,40,159,697,99.5,75.4,24.1,0.5,9253,10.8,17.2,19.2,22.1,9.6,21.1,31.3,27.2,17.5,11.8,5.4,6.8,21.7
0500000US27055,27055,"Houston County, Minnesota",9609,7678,548,115,106,96,298,38,135,605,53.3,45.3,8,46.7,9003,6.5,12.5,21.2,33.3,10.5,16,21.8,33.8,16.9,17.4,5.6,4.6,21.3
0500000US27161,27161,"Waseca County, Minnesota",9330,7464,709,93,65,56,224,56,93,569,99.2,61.4,37.8,0.8,8763,7.6,10.6,21.5,29.2,9.4,21.8,31.6,26.2,20.6,12.7,3.5,5.4,20.1
0500000US27057,27057,"Hubbard County, Minnesota",9329,7435,653,140,93,37,308,28,84,560,98,58.5,39.4,2,8770,3.2,7.4,17.7,33.4,15.3,22.9,23.1,34.4,20.7,11.7,3.9,6.1,21.6
0500000US55053,55053,"Jackson County, Wisconsin",9035,7237,759,126,72,9,226,27,108,470,98.5,69.6,28.9,1.5,8567,9.2,13,17.2,26.7,8.6,25.2,25.8,31.1,15.2,15.4,6,6.7,21.7
0500000US55047,55047,"Green Lake County, Wisconsin",8903,7042,668,36,107,27,392,9,169,445,99.2,51.4,47.7,0.8,8457,10,14.2,20.9,24.7,7.7,22.5,23.3,26.3,20.1,16.3,7.4,6.7,23.1
0500000US55067,55067,"Langlade County, Wisconsin",8814,6998,635,115,35,26,485,18,123,388,99.2,80.2,19,0.8,8428,6.7,14.4,18.1,25.8,9.5,25.5,31.8,32.8,11,10.9,7.5,5.9,20.5
0500000US55125,55125,"Vilas County, Wisconsin",8809,7012,467,150,53,18,467,26,70,546,98,73.4,24.6,2,8261,3.4,7.7,15.8,33.2,16.2,23.8,25.8,38.2,16.2,12.6,3.6,3.6,19
0500000US55065,55065,"Lafayette County, Wisconsin",8514,6462,485,170,51,17,451,34,77,758,90.9,49.9,41,9.1,7753,8,12.8,23,29,8.9,18.4,25.8,21.6,17.6,20.3,6.7,8.1,24.9
0500000US55103,55103,"Richland County, Wisconsin",8239,6649,536,49,82,25,330,16,66,486,99.3,64.4,34.9,0.7,7753,7.6,14.7,16.6,23.1,11.7,26.3,23.4,28.3,17.8,16.1,5.3,9.2,23.6
0500000US27135,27135,"Roseau County, Minnesota",8180,6037,1096,147,106,49,262,33,98,352,99.1,94.7,4.4,0.9,7831,10.9,13.3,19,26.6,9.4,20.8,37.6,30,14.2,11.9,3.1,3.3,16.6
0500000US27143,27143,"Sibley County, Minnesota",7648,5942,558,161,69,23,283,8,31,574,99.4,47.6,51.9,0.6,7071,8.1,15.4,21.5,26.4,10.2,18.4,23,22.5,15,22.4,9.6,7.5,25
0500000US27127,27127,"Redwood County, Minnesota",7506,5810,473,68,113,38,345,38,23,593,99.3,77.5,21.8,0.7,6913,3.1,8,18.7,35.9,14.3,19.9,39.5,27.6,14.4,10.5,4.7,3.3,16.6
0500000US55023,55023,"Crawford County, Wisconsin",7476,6011,456,120,67,22,269,15,75,441,93,68.7,24.2,7,7035,5.9,16.7,16.3,25.3,10.2,25.6,28.8,27.2,15.5,14,7,7.4,23.4
0500000US55001,55001,"Adams County, Wisconsin",7456,5965,731,104,82,7,127,22,112,306,97.7,43.9,53.9,2.3,7148,8.2,12.7,19.4,23.7,10.5,25.5,15,22.2,22,19.5,11,10.4,28.5
0500000US27129,27129,"Renville County, Minnesota",7396,5865,385,81,96,37,274,44,59,555,99.6,67.3,32.3,0.4,6841,4.5,8.7,23.4,33.2,11.9,18.2,34.1,28.3,16.4,13,4.3,3.9,18.4
0500000US27113,27113,"Pennington County, Minnesota",7381,5506,812,133,44,74,273,52,133,362,98.3,92.1,6.2,1.7,7023,3.1,9.8,17.9,32,17.2,20,41.3,37.4,7.8,6.9,2.6,4.1,15
0500000US55003,55003,"Ashland County, Wisconsin",7175,5503,431,129,136,72,423,79,43,359,98.5,79,19.5,1.5,6816,6,10.5,18.6,28.4,13.4,23.1,35.8,33.5,13.8,7.7,3.6,5.5,18.1
0500000US27065,27065,"Kanabec County, Minnesota",7022,5653,548,154,63,7,126,7,126,337,97.8,47.4,50.5,2.2,6687,10.5,15.1,16.9,25.5,9.4,22.5,18.9,22,15.2,17.9,7.6,18.3,32.1
0500000US27043,27043,"Faribault County, Minnesota",6952,5450,438,104,28,21,320,21,42,535,96.5,71.7,24.7,3.5,6419,4.6,9.5,21.1,33.7,11.6,19.6,36.4,24.9,14,14.8,5.8,4.1,19.2
0500000US55113,55113,"Sawyer County, Wisconsin",6939,5405,631,62,7,62,284,14,42,423,97.6,84.7,12.9,2.4,6515,3.2,6.8,13.7,36.6,14.3,25.5,29.9,35.6,14.5,10.5,3.9,5.6,19.2
